ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
192113	Atp12a	12292.0129836319	-7.74418677950778	0.335728207840788	-23.0668338216618	9.96991293278304e-118	1.33636712951024e-113	1.77474420116471e-113
15408	Hoxb13	2104.57152187078	-9.19434195899104	0.41403763422032	-22.2065367953931	2.969641334802e-109	1.9902536225843e-105	5.28596157594756e-105
21818	Tgm3	2317.93818188723	-9.23164481600951	0.523253289248683	-17.6427841079888	1.15621344234694e-69	5.16596166040611e-66	2.05794430603331e-65
245282	Apol10a	380.072170858924	7.1142134567752	0.429035542537029	16.5818743470681	9.42429913032145e-62	3.15808263857072e-58	1.67733675921461e-57
11829	Aqp4	3086.00209903259	-6.76058398784059	0.418409420398524	-16.1578197293008	1.00037647193973e-58	2.68180924597603e-55	1.78037000711114e-54
368204	Khdc1a	2701.60177331672	-6.60170116222107	0.418444525980751	-15.776765502543	4.49647012840695e-56	1.00451142668611e-52	8.00191824051301e-52
13487	Slc26a3	5877.05252235001	-4.91653757545389	0.312887273196674	-15.7134469715662	1.22342493366679e-55	2.34268397298138e-52	2.17708466946005e-51
21386	Tbx3	418.275309813432	6.93127390239771	0.471379417542583	14.704235366347	6.0551008782819e-49	1.01453215215613e-45	1.07744465028148e-44
12351	Car4	3784.62381159581	-6.87036733635681	0.475482025333708	-14.4492682589525	2.53363233163659e-47	3.77342308591742e-44	4.50809200768098e-43
15398	Hoxa13	549.245597815815	-4.84092981963674	0.3479309010387	-13.9134805364652	5.24630283509929e-44	7.03214432016709e-41	9.33422200420866e-40
224796	Clic5	4263.68116897674	-2.46094606702162	0.187762007813276	-13.1067306729536	3.01309597476665e-39	3.67159440416111e-36	5.36059904870735e-35
56857	Slc37a2	936.226579858264	-8.85346089431927	0.6773528710128	-13.0706774462789	4.84322781104103e-39	5.40988546493283e-36	8.616102275842e-35
