ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
71597	Isx	2113.42077855778	-2.96211054023084	0.213157712869318	-13.8963329093648	6.66707031595848e-44	9.16188802819014e-40	1.18680518694377e-39
381217	Fam189a2	1054.41321821737	-3.26985964548082	0.368337757498435	-8.87734037283625	6.84780083418311e-19	4.70512395316722e-15	1.21890854848459e-14
22779	Ikzf2	412.355955226999	4.86615486705027	0.567875637820521	8.56905023382643	1.04342015208976e-17	4.01241343782876e-14	1.85718352870456e-13
56047	Msln	2835.90611380316	2.23406845847376	0.26110955507413	8.55605785027477	1.16792706675266e-17	4.01241343782876e-14	2.07867659340638e-13
17153	Mal	3871.55178903535	4.12918596432908	0.500917090559106	8.24325231091681	1.67591649812272e-16	4.60608890344048e-13	2.982628591709e-12
226781	Slc30a10	683.910973137487	-4.56729280399619	0.578183100697791	-7.89938827074687	2.8027554207369e-15	6.4192441652944e-12	4.98778354674338e-11
17068	Ly6d	1158.31235246895	3.42205767537219	0.439412118141088	7.78780906145475	6.818111082329e-15	1.33849260704807e-11	1.21328286710045e-10
11829	Aqp4	3086.00209903259	-3.10516086058951	0.407987015623666	-7.61093059749177	2.72129339805652e-14	4.67450173451159e-11	4.84226947250178e-10
215280	Wipf1	88.4395130777457	-6.81992364620359	0.905738044015472	-7.52968663651175	5.08622378030502e-14	7.76609857655018e-11	9.04991797229672e-10
58250	Chst11	213.278816172721	-4.45513688966136	0.61791036005368	-7.2100051685075	5.5949753303012e-13	7.68861509889991e-10	9.95458010767189e-09
12870	Cp	2286.8107618473	6.60451072052776	0.917820734795958	7.19586131598566	6.20676917489039e-13	7.75394745466761e-10	1.10424630390475e-08
14199	Fhl1	8013.20553824014	2.65428901895256	0.370939890022375	7.1555771982152	8.33215825845642e-13	9.10133767310878e-10	1.4822909541794e-08
13134	Dach1	147.946319953742	-3.60793394661764	0.504530085297427	-7.15107790745662	8.6099104752157e-13	9.10133767310878e-10	1.53161697443612e-08
319622	Itpripl2	996.560170241299	2.40762400823047	0.338219651727481	7.11852193074342	1.0909058068656e-12	1.07080197128194e-09	1.94050324925253e-08
381633	Gm1673	97.9678192674099	-6.09225619527824	0.909065427464167	-6.7016696611954	2.06051430887844e-11	1.88770584217384e-08	3.66503680120208e-07
75761	Apol7a	609.207263462833	2.33856114089919	0.361404054527762	6.47076620087989	9.75072073475358e-11	8.37465027106148e-08	1.73426318988327e-06
12411	Cbs	125.338387777594	-2.91008847406329	0.451757662249588	-6.44170252602272	1.18140664854918e-10	9.03048454439184e-08	2.10113172444473e-06
100039138	Gm2061	386.831809236882	-4.86257452311579	0.754880468637502	-6.44151587587415	1.1828607320554e-10	9.03048454439184e-08	2.10359952588732e-06
59036	Dact1	135.004338964591	-4.50198069268621	0.717745310973134	-6.27239303950636	3.55540692187239e-10	2.57149483791423e-07	6.32258012916567e-06
229927	Clca3b	2013.33002381064	-2.71573310467407	0.435078610502378	-6.24193660437193	4.32186127604327e-10	2.96955088276933e-07	7.68513372106014e-06
69635	Dapk1	116.109808860363	5.80688397177162	0.9316414240502	6.23296025903065	4.57702316100295e-10	2.99511677516678e-07	8.13840488257934e-06
69581	Rhou	962.611329063607	1.32252722976163	0.221859500925042	5.96110251869929	2.50541712528882e-09	1.56497464253268e-06	4.45463164876352e-05
14049	Eya2	323.101136998608	2.64674597135184	0.447392604200935	5.91593590618035	3.29993705216632e-09	1.97164065090737e-06	5.86695808504651e-05
215798	Adgrg6	309.263207467357	5.45898854710425	0.929979142379357	5.87001180815453	4.35764101765058e-09	2.49511261935643e-06	7.74701420117919e-05
72701	Zfp618	164.934867049936	4.41198278290887	0.766580904350173	5.75540397350347	8.64348444346568e-09	4.59365167878785e-06	0.000153655222951489
18441	P2ry1	273.991766453441	-3.28029466271636	0.570042555884891	-5.75447329125153	8.69123443810829e-09	4.59365167878785e-06	0.000154495383371813
239606	Slc2a13	248.119569286961	-2.95982255612331	0.5178639940171	-5.71544380439313	1.09418076878084e-08	5.56897486095791e-06	0.000194490631650795
380921	Dgkh	152.896377027539	-3.07421640060447	0.542818906182916	-5.66342912081353	1.48377475943032e-08	7.28215455146122e-06	0.000263726125741145
192113	Atp12a	12292.0129836319	1.78360079468839	0.318377296630652	5.60216074941277	2.11696088267328e-08	1.00314746378263e-05	0.000376247457677521
15562	Htr4	18.3862219088001	-8.9683308250351	1.62227990463115	-5.52822654058221	3.23484164678244e-08	1.48177313033614e-05	0.000574896057466174
18791	Plat	658.598061328088	2.09285711676699	0.392941388352074	5.32613050904121	1.00327057758418e-07	4.44740137972959e-05	0.00178291214342484
71461	Ptk7	91.6064430880334	-5.48221832124441	1.04778582412047	-5.23219363637246	1.67510137789062e-07	7.19351347967905e-05	0.00297665514851164
17533	Mrc1	523.025644998883	3.16038314617984	0.609047840917596	5.1890556600913	2.11363217322244e-07	8.40452733931445e-05	0.00375571300859895
14933	Gk	1077.99789265557	1.1811867133293	0.227726667891303	5.18686161909284	2.13867524269424e-07	8.40452733931445e-05	0.00379999817121913
22361	Vnn1	850.319961860657	2.99590289956824	0.578107023287441	5.18226345449301	2.19209282626501e-07	8.40452733931445e-05	0.00389469132442505
216892	Spns2	431.348256643618	1.44182838868003	0.278267641856046	5.18144466623224	2.2017390788482e-07	8.40452733931445e-05	0.00391160964748172
216643	Gabrp	2260.06744288219	4.58613493932479	0.889411812122641	5.15636837381287	2.51785329036131e-07	9.35144322057976e-05	0.00447296637032687
71306	Mfap3l	337.642311568461	-3.98114957555633	0.788758454235385	-5.04736216034048	4.47951731836266e-07	0.000161993492076157	0.00795741456433943
17311	Kitl	1793.6172135848	-1.42218616162832	0.282465103390002	-5.03490924917793	4.78075267139415e-07	0.000165370237686161	0.00849205097019744
16682	Krt4	4043.63242264832	2.89624477705768	0.575382548818379	5.03359857368891	4.81357117409871e-07	0.000165370237686161	0.00854986511943413
107515	Lgr4	2823.97855964104	0.65587049640074	0.130478576980197	5.02665273932505	4.99114975094007e-07	0.000167288731408338	0.00886478107264466
208982	Hmgcll1	101.068637321093	-6.49998061245017	1.29941621542248	-5.00223141384828	5.6670505234733e-07	0.000185420495937072	0.0100646817296886
114249	Npnt	308.841213086444	3.00846033368017	0.602294220312507	4.99500116756757	5.88354114597007e-07	0.000188027028902141	0.0104485807211282
69480	Ttc9	436.337803848474	1.87349542564396	0.380063793464516	4.92942358062023	8.24725874427549e-07	0.000257576885599622	0.0146454820780844
