ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
17863	Myb	1160.24360775162	-5.43495083975739	0.348121355353018	-15.6122304942942	6.00986445543944e-55	3.59076336289778e-52	1.06849380153258e-50
72112	Ppp1r14d	1416.39321047543	-4.12244867901984	0.266697499266539	-15.4573953275049	6.72638982278518e-54	3.85141870602975e-51	1.19581758269475e-49
72535	Aldh1b1	1128.45391478841	-5.29726956876946	0.347099289524107	-15.2615396477254	1.37954409065529e-52	7.58307795751402e-50	2.45241552995792e-48
19249	Ptpn13	654.902353015402	5.99191342467232	0.394519696373426	15.1878688941319	4.25530541682084e-52	2.24909257838277e-49	7.56423090894072e-48
20324	Cavin2	383.715757760051	6.49725062927465	0.434404819136599	14.9566725391957	1.40896826365906e-50	7.17112662192697e-48	2.50444108865398e-46
243385	Gprin3	1325.08497550025	-3.72081425623068	0.248910566650666	-14.9483981588161	1.59540752823641e-50	7.83003223322315e-48	2.8356773406874e-46
64381	Ms4a8a	2057.93577351276	-4.73081905037549	0.320710171043898	-14.7510727052306	3.02813025302927e-49	1.43491606679753e-46	5.38189589870893e-45
66261	Tm4sf20	2123.39896790798	-5.72221738061844	0.38969561893865	-14.683812448811	8.18557262842681e-49	3.74953796866137e-46	1.45473996752401e-44
224762	Trim31	979.548467047812	-6.1202564487369	0.417275034135651	-14.6672001631118	1.04571773507182e-48	4.63556552108289e-46	1.85834498699613e-44
15414	Hoxb6	544.145440621471	6.26791119089022	0.429374769553878	14.5977631554891	2.90211941387747e-48	1.24627890579701e-45	5.15706619846027e-44
241576	Ldlrad3	827.55167654842	-5.36426182422596	0.371212539168084	-14.4506482357726	2.4833755983735e-47	1.03413780220753e-44	4.41271010074987e-43
76507	Aoc1	1102.69838997588	-5.68301639662871	0.395750997140113	-14.3600810552517	9.21193480449601e-47	3.66542228247545e-44	1.63677657606285e-42
58998	Nectin3	1020.842670766	-3.98693153896737	0.27766326048962	-14.3588731614582	9.37388798041903e-47	3.66542228247545e-44	1.66545867748105e-42
50798	Gne	2544.67319323143	-2.82403047593658	0.196697799270089	-14.3572042311406	9.60232878541088e-47	3.66542228247545e-44	1.7059497320161e-42
72040	Cdhr5	5470.07799282109	-4.81208725626959	0.335841785711807	-14.3284351769108	1.45359048035718e-46	5.39871361650497e-44	2.58230348835454e-42
15398	Hoxa13	549.245597815815	-6.50399154382601	0.466282540999229	-13.9486062032006	3.20813689531872e-44	1.16016361093342e-41	5.69893438084417e-40
70355	Gprc5c	173.400542589237	4.45583975962435	0.320794989679251	13.8899917485605	7.28437117940594e-44	2.56671355762555e-41	1.29392285259788e-39
67759	Plgrkt	3419.71939450763	-3.4911384062322	0.251686990671142	-13.8709529520093	9.50061326115411e-44	3.2639356858695e-41	1.68749892744619e-39
320982	Arl4c	344.51722752154	6.90714432777378	0.502786533507193	13.7377273802321	6.03402750794996e-43	2.02242941498167e-40	1.07170362568699e-38
12653	Chgb	1290.58883715784	-6.8366344290478	0.503524850476708	-13.5775511825787	5.44154982011531e-42	1.78042327685773e-39	9.66419248052479e-38
66214	Rgcc	359.144765642431	-5.62473199137795	0.422166925011026	-13.3234786008663	1.69043764574822e-40	5.40232421578419e-38	3.00204821508426e-36
546644	Ly6g	1743.27487522405	-5.01388556879641	0.377308566563355	-13.288554814603	2.69737683680034e-40	8.42439829347959e-38	4.79000178679004e-36
54611	Pde3a	1107.37185948586	-6.34329067734051	0.479895294265884	-13.2180722610421	6.90100022565288e-40	2.10741211335382e-37	1.22541061006918e-35
12759	Clu	5676.28126674625	5.30702868126217	0.402853210598612	13.1736040365082	1.24509146595031e-39	3.71957541849764e-37	2.21078440694137e-35
21386	Tbx3	418.275309813432	7.23390654477032	0.549717520251977	13.1593159727827	1.50441666743053e-39	4.39865826464475e-37	2.6710917930229e-35
100038347	Fam174b	1303.04739842148	-6.32557482899826	0.480795360478198	-13.1564805922978	1.56193579027984e-39	4.47169200625533e-37	2.77306080206283e-35
14917	Gucy2c	1706.00909982772	-5.57699338985725	0.424532525159174	-13.1367870760107	2.0265007292432e-39	5.68330061658368e-37	3.59764674462545e-35
56047	Msln	2835.90611380316	3.26461589743376	0.249035305278284	13.1090485093498	2.92241796235502e-39	8.03197352773654e-37	5.18787636677264e-35
50935	St6galnac6	1400.37934651131	-6.37344826056396	0.486452539934463	-13.1018912172246	3.21154126711014e-39	8.65352942992697e-37	5.70080690324721e-35
12652	Chga	814.197534765126	-7.01226874047436	0.535684709691684	-13.0902910118721	3.74171495113733e-39	9.88820131894791e-37	6.64154403826875e-35
110075	Bmp3	1296.2045340373	-5.97602881498386	0.461037150855723	-12.9621415625441	2.00568691936815e-38	5.20040559357683e-36	3.55989371318654e-34
