ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
22337	Vdr	3571.28934983144	-5.62013499773188	0.404610650769713	-13.8902299952816	7.26018177562602e-44	2.5581902041193e-41	1.28962608880445e-39
72040	Cdhr5	5470.07799282109	-4.65300461174071	0.335930824539735	-13.8510796623557	1.25314257058468e-43	4.30517130124367e-41	2.22583183387251e-39
22710	Zfp52	170.207138366642	5.8216891692772	0.423307784020979	13.7528516815289	4.89609439023636e-43	1.64102753928361e-40	8.6959532464988e-39
320982	Arl4c	344.51722752154	8.16264090936411	0.601457112304639	13.571442987991	5.91460551319691e-42	1.93520259434171e-39	1.05043393914377e-37
320405	Cadps2	775.376966049348	-5.69872927872107	0.4216922141293	-13.5139542248549	1.29381165254385e-41	4.13478133238549e-39	2.29768011375263e-37
50798	Gne	2544.67319323143	-2.60337408140531	0.196763839646159	-13.2309579142538	5.81415991435616e-40	1.81395669634326e-37	1.03247851759137e-35
23972	Papss2	5365.96366146945	-5.70409331373953	0.431169647692877	-13.2293479939074	5.94004157585843e-40	1.81395669634326e-37	1.05477318262518e-35
17068	Ly6d	1158.31235246895	5.30704582045012	0.403992074901867	13.136509724205	2.03394015533918e-39	6.07617513362413e-37	3.61146413982025e-35
233529	Kctd14	624.421908817543	7.79509661765831	0.596817349233069	13.0611092785343	5.49216221426471e-39	1.60581474783884e-36	9.75133401142699e-35
12638	Cftr	927.783167593421	-7.67207296251667	0.587698021823378	-13.0544474842938	5.99433357576519e-39	1.71612774996178e-36	1.06423398304135e-34
54525	Syt7	1894.12331104661	-4.64627976175337	0.35897714429836	-12.9431074806581	2.57019152342074e-38	7.20807590098935e-36	4.56286101152884e-34
13800	Enah	384.549637339671	6.15645393944263	0.476730718057901	12.9139023483167	3.75764275407383e-38	1.03275053452965e-35	6.67056741703186e-34
241576	Ldlrad3	827.55167654842	-4.78982394621572	0.371763661047424	-12.8840563187931	5.53483618162062e-38	1.49136703544766e-35	9.82488770599476e-34
224762	Trim31	979.548467047812	-5.36165269735885	0.418349143395553	-12.8162153120256	1.33037432283507e-37	3.51576998930759e-35	2.36141442303224e-33
668108	Gm8979	1001.24829358173	-7.95365103603241	0.623716000140228	-12.7520394446258	3.03694827436947e-37	7.87429116724249e-35	5.39027949217837e-33
17153	Mal	3871.55178903535	6.29280445330741	0.49412938813977	12.7351349754721	3.77193217711124e-37	9.59886888478938e-35	6.69442522793703e-33
212070	Clrn3	1166.7353215774	-4.56699102628926	0.360721631866601	-12.6607073788638	9.7615774018372e-37	2.4389744846554e-34	1.73238714150405e-32
110075	Bmp3	1296.2045340373	-5.82542713975171	0.461223402882663	-12.6303806427484	1.43581999087859e-36	3.52339969904528e-34	2.54800615581314e-32
