ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
72535	Aldh1b1	1128.45391478841	-7.69252440801719	0.40320111306141	-19.0786288996319	3.80099681836388e-81	2.7491209619977e-78	6.75931264209648e-77
625286	Tmem236	1750.78746851742	-7.17337492100657	0.377115643711979	-19.0216848349182	1.12799818245575e-80	7.75047551165343e-78	2.00580636804281e-76
433023	Gm5485	1794.70182190262	-7.43319871386279	0.394388641158638	-18.8473955335668	3.0866966634351e-79	2.01987550232977e-76	5.48845533725395e-75
56375	B4galt4	882.751545179448	-7.6085091402502	0.404298100833122	-18.8190573355938	5.27140801202094e-79	3.29271313187235e-76	9.37256344537323e-75
216892	Spns2	431.348256643618	5.21154345911113	0.283544618154833	18.3799766436241	1.90050479589691e-75	1.13551030022676e-72	3.37890747662512e-71
20494	Slc10a2	1360.63853224772	-8.7159571645687	0.479407590500498	-18.1806824449094	7.34144721411221e-74	4.20359031734708e-71	1.30516248572487e-69
58998	Nectin3	1020.842670766	-5.04749809264272	0.281454824670395	-17.9335994632664	6.44676825545316e-72	3.54365957465749e-69	1.14604199277191e-67
381217	Fam189a2	1054.41321821737	-7.65159826393525	0.433958309672188	-17.6321044980456	1.39670109239491e-69	7.38210246603492e-67	2.48277586184118e-65
12590	Cdx1	1047.99420237711	-8.22520049998537	0.468787781850952	-17.5456801956509	6.41797830962222e-69	3.26651325669735e-66	1.14079564453535e-64
54525	Syt7	1894.12331104661	-6.7234538548151	0.389568484478448	-17.258721181762	9.62182879932217e-67	4.72225612001019e-64	1.71018385079152e-62
110075	Bmp3	1296.2045340373	-8.17866242145528	0.476368740816981	-17.1687638601742	4.55007014796172e-66	2.15610565425138e-63	8.08683967397236e-62
64381	Ms4a8a	2057.93577351276	-4.93875633782255	0.289250691073319	-17.0743112816649	2.30529932186872e-65	1.05598077603733e-62	4.09697795482509e-61
14917	Gucy2c	1706.00909982772	-7.15750906106711	0.421488609334916	-16.9815005733162	1.125706680406e-64	4.99014877488362e-62	2.0004933417495e-60
19249	Ptpn13	654.902353015402	9.44879449932236	0.557937764518883	16.9352123125599	2.47463940413465e-64	1.06270295911307e-61	4.39743422114727e-60
212943	Tent5a	2510.53947013963	-4.09841417953172	0.242281465190304	-16.915921225392	3.43404618799853e-64	1.43002008228715e-61	6.10195667145459e-60
224762	Trim31	979.548467047812	-7.22775126574398	0.42946163580275	-16.8297949413662	1.4761242167826e-63	5.96614676089013e-61	2.62277750837932e-59
60363	Cldn15	1350.51955147687	-6.56372877852153	0.390080011781169	-16.826621668079	1.55738423909002e-63	6.11473548959285e-61	2.76700457759123e-59
